Which of the following best describes you?,Others Specify_Which of the following best describes you?,responsible research Practices_q1,na_responsible research Practices_q1,responsible research Practices_q2,na_responsible research Practices_q2,responsible research Practices_q3,na_responsible research Practices_q3,responsible research Practices_q4,na_responsible research Practices_q4,responsible research Practices_q5,na_responsible research Practices_q5,responsible research Practices_q6,na_responsible research Practices_q6,responsible research Practices_q7,na_responsible research Practices_q7,responsible research Practices_q8,na_responsible research Practices_q8,responsible research Practices_q9,na_responsible research Practices_q9,responsible research Practices_q10,na_responsible research Practices_q10,responsible research Practices_q11,na_responsible research Practices_q11,responsible research Practices_q12,na_responsible research Practices_q12,responsible research Practices_q13,na_responsible research Practices_q13,responsible research Practices_q14,na_responsible research Practices_q14,responsible research Practices_q15,na_responsible research Practices_q15,responsible research Practices_q16,na_responsible research Practices_q16,responsible research Practices_q17,na_responsible research Practices_q17,responsible research Practices_q18,na_responsible research Practices_q18,responsible research Practices_q19,na_responsible research Practices_q19,responsible research Practices_q20,na_responsible research Practices_q20,fair research practices_q1,na_fair research practices_q1,fair research practices_q2,na_fair research practices_q2,fair research practices_q3,na_fair research practices_q3,fair research practices_q4,na_fair research practices_q4,fair research practices_q5,na_fair research practices_q5,fair research practices_q6,na_fair research practices_q6,fair research practices_q7,na_fair research practices_q7,fair research practices_q8,na_fair research practices_q8,fair research practices_q9,na_fair research practices_q9,fair research practices_q10,na_fair research practices_q10,fair research practices_q11,na_fair research practices_q11,fair research practices_q12,na_fair research practices_q12,fair research practices_q13,na_fair research practices_q13,fair research practices_q14,na_fair research practices_q14,fair research practices_q15,na_fair research practices_q15,fair research practices_q16,na_fair research practices_q16,fair research practices_q17,na_fair research practices_q17,fair research practices_q18,na_fair research practices_q18,fair research practices_q19,na_fair research practices_q19,fair research practices_q20,na_fair research practices_q20,Which country are you from?,other_Which country are you from?,What discipline of global health based describes you:,other_What discipline of global health based describes you:,What is you gender?,other_gender,How many years of involvement in research do you have?,What is your highest academic rank?,other_What is your highest academic rank?,How best do you describe your current role?,other_How best do you describe your current role?,May we contact you for a follow-up interview?,You may leave your email address here:
Researcher from the Global North,,Always,,Never,,Always,,Very Rarely,,Never,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Never,,Never,,Always,,Very Frequently,,Very Frequently,,Never,,Very Frequently,,Very Frequently,,Very Rarely,,Never,,Always,,Very Rarely,,Very Rarely,,Always,,Always,,Very Frequently,,Always,,Very Frequently,,Always,,Always,,Never,,Very Frequently,,Never,,Never,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Always,,Frequently,,Europe and Central Asia,university of antwerp,Biology/Medicine,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,Rarely,,N/A,,Never,,Never,,N/A,I' am still student,Very Rarely,,Very Rarely,,Rarely,,Rarely,,Never,,Very Rarely,,Frequently,,Frequently,,Very Frequently,,Always,,Rarely,,Rarely,,Rarely,,Rarely,,Always,,Rarely,,Very Rarely,,Always,,Always,,Frequently,,Very Frequently,,Always,,Very Frequently,,Very Frequently,,Never,,Frequently,,Very Rarely,,Very Rarely,,Frequently,,Frequently,,Very Rarely,,Very Rarely,,Always,,Always,,Very Frequently,,Sub-Saharan Africa,Centre Suisse de Recherches Scientifiques en Côte d'Ivoire,Biology/Medicine,,Female,,Early Career (< 3 years post-education),PhD degree,,Researcher,,Yes,
Researcher from the Global South,,Never,,Always,,Very Rarely,,Very Rarely,,Never,,Very Frequently,,Very Rarely,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Very Frequently,,Always,,Never,,Always,,Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Never,,Never,,Very Frequently,,Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,N/A,Not yet done a study involving diffferent countries ,Never,,Always,,Never,,Never,,Frequently,,Frequently,,Very Frequently,,Very Frequently,,Always,,Very Frequently,,Very Frequently,,Sub-Saharan Africa,University of Zambia,Biostatistics/Epidemiology,,Male,,Early Career (< 3 years post-education),PhD degree,,Researcher,,Yes,
Researcher from the Global South,,Prefer not to respond,,Always,,Never,,Never,,Never,,N/A,,N/A,,N/A,,Always,,Occasionally,,N/A,,Always,,Always,,Always,,N/A,,Always,,Always,,N/A,,N/A,,N/A,,Never,,Always,,Frequently,,Always,,N/A,,Always,,Always,,Always,,Always,,Occasionally,,N/A,,N/A,,Never,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Prefer Not To Disclose,,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Bachelor or Master degree,,Other (please specify),Data Scientist,Yes,
Researcher from the Global South,,Never,,Always,,Never,,Very Rarely,,Never,,Always,,Never,,Never,,Never,,Rarely,,Never,,Always,,Very Frequently,,Always,,Never,,Rarely,,Never,,Never,,Never,,Always,,Never,,Never,,Very Frequently,,Very Frequently,,Always,,Very Frequently,,Very Frequently,,Always,,Always,,Very Rarely,,Very Frequently,,Very Rarely,,Very Rarely,,N/A,No lay dissemination products,N/A,No lay dissemination products,N/A,No lay dissemination products,N/A,No lay dissemination products,Always,,Always,,N/A,No openly accessible data,Sub-Saharan Africa,Wits,Biostatistics/Epidemiology,,Female,,Established (>10 years post-education),PhD degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Never,,Never,,Never,,Always,,Always,,Always,,Always,,Very Frequently,,Rarely,,Never,,Never,,Always,,Very Rarely,,Occasionally,,Occasionally,,Occasionally,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Occasionally,,Occasionally,,Occasionally,,Occasionally,,Always,,Always,,Always,,Sub-Saharan Africa,University of Health and Allied Sciences ,Political sciences/Health economics,,Male,,Mid-career (3-10 years post-education),PhD degree,,Researcher,,Yes,
Researcher from the Global South,,Very Rarely,,Very Rarely,,Never,,Very Rarely,,Never,,Always,,Never,,Never,,Always,,Very Rarely,,Never,,Always,,Always,,Always,,Very Rarely,,Always,,Very Frequently,,Never,,Never,,Always,,Never,,Rarely,,Very Frequently,,Occasionally,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Occasionally,,Occasionally,,Occasionally,,Rarely,,Always,,Always,,Frequently,,Sub-Saharan Africa,"University of Health and Allied Sciences, Ghana",Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),PhD degree,,Researcher,,Yes,
Researcher from the Global South,,Never,,Always,,Never,,Never,,Very Rarely,,Always,,Never,,Never,,Always,,Very Frequently,,Very Rarely,,Always,,Always,,Always,,Never,,Very Frequently,,Occasionally,,Never,,Very Rarely,,Always,,Never,,Never,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Very Frequently,,Always,,Always,,Never,,Frequently,,Never,,Never,,Occasionally,,Frequently,,Occasionally,,Occasionally,,Very Frequently,,Very Frequently,,Occasionally,,Sub-Saharan Africa,KEMRI,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Bachelor or Master degree,,Researcher,,No,
Researcher from the Global South,,Never,,N/A,The published work would have gone through critical review and a peer review process before publication.,Never,,Never,,Never,,Always,,Never,,Never,,N/A,,Very Rarely,,Never,,Always,,N/A,I do not understand this question,Always,,N/A,,N/A,,N/A,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Very Frequently,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Very Frequently,,Very Frequently,,N/A,"The plans are there, however the study is still ongoing. The dissemination is still to follow.",N/A,Dissemination still to follow.,Always,,Always,,Frequently,,Sub-Saharan Africa,,Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Researcher,,No,
Prefer not to disclose,,Prefer not to respond,,Prefer not to respond,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Always,,Very Rarely,,Always,,Never,,Very Rarely,,Very Rarely,,Never,,Occasionally,,Always,,Never,,Never,,Never,,Always,,Very Frequently,,Always,,Always,,Always,,Always,,Prefer not to respond,,Very Frequently,,Never,,Never,,Prefer not to respond,,Prefer not to respond,,Prefer not to respond,,Prefer not to respond,,Always,,Always,,Always,,Sub-Saharan Africa,prefer not to respond,Prefer not to disclose,,Female,,Early Career (< 3 years post-education),Bachelor or Master degree,,Researcher,,No,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,Always,,Very Rarely,,Never,,Very Rarely,,Always,,Never,,Never,,Never,,Never,,Never,,Always,,Very Frequently,,Always,,Never,,Never,,Never,,Very Rarely,,Very Rarely,,Very Frequently,,Occasionally,,Frequently,,N/A,"I am from global south, local researchers.",Very Frequently,,Always,,Always,,Occasionally,,Always,,Always,,N/A,I am a local partner.,Always,,Very Rarely,,Frequently,,Occasionally,,Very Rarely,,Very Rarely,,Occasionally,,Always,,Always,,N/A,I am a local researcher,South Asia,BRACJPGSPH,Sociology/Anthropology,,Female,,Established (>10 years post-education),PhD degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Never,,N/A,,Occasionally,,Occasionally,,Rarely,,Very Frequently,,Very Rarely,,Never,,Very Frequently,,Occasionally,,Never,,Always,,Always,,Always,,Never,,Occasionally,,Very Rarely,,Very Rarely,,Very Rarely,,Very Frequently,,Never,,Never,,Very Frequently,,Always,,Very Frequently,,Very Frequently,,Occasionally,,Always,,Always,,Never,,Always,,Never,Confidentiality during interview processes often very different in the Global South than the Global North. Answer refers to what is locally applicable.,Very Rarely,Not always clearly spelled out but always intended joint ownership by all involved researchers.,Frequently,,Occasionally,,Rarely,,Rarely,,Very Frequently,,Very Frequently,,Rarely,All projects included primary analyses by local researchers.,Europe and Central Asia,,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Prefer not to disclose,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Very Frequently,,Very Rarely,,Never,,Always,,Always,,Always,,Never,,Always,,Occasionally,,Never,,Never,,Always,,Never,,Occasionally,,Always,,Always,,Always,,Always,,Rarely,,Always,,Always,,Very Rarely,,Occasionally,,Never,,Never,,Always,,Occasionally,,Very Rarely,,Occasionally,,Frequently,,Very Frequently,,Rarely,,Europe and Central Asia,Heidelberg Institute of Global Health,Prefer not to disclose,,Male,,Prefer not to disclose,Prefer not to disclose,,Researcher,,No,
Researcher from the Global North,,Never,,Always,,Never,,Never,,Never,,N/A,,Never,,Never,,Very Frequently,,Very Rarely,,Never,,Always,,Very Frequently,,Always,,N/A,,Always,,Always,,Never,,Never,,Always,,N/A,,N/A,,Always,,Always,,N/A,,Always,,Very Frequently,,Always,,N/A,,Very Rarely,,Never,,Never,,Never,,N/A,,N/A,,N/A,,N/A,,Always,,Always,,Always,,Europe and Central Asia,University of Tübingen,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Postdoc or Assistant Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Very Frequently,,Very Rarely,,Never,,Always,,Very Frequently,,Always,,Never,,Always,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Always,,Always,,Very Frequently,,Very Frequently,,Always,,Always,,Always,,South Asia,KEM Hospital Research Centre Pune,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Rarely,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Occasionally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,N/A,,N/A,,N/A,,N/A,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,Never,,South Asia,,Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Prefer not to disclose,,No,
Researcher from the Global North,,Never,,Always,,Never,,Very Rarely,,Never,,Always,,Never,,Very Rarely,,Always,,Rarely,,Never,,Very Frequently,,Always,,Always,,Very Rarely,,Very Frequently,,Always,,Very Rarely,,Never,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Prefer not to respond,,Always,,Never,,Never,,Rarely,,Never,,Always,,Always,,Always,,Very Frequently,,Always,,South Asia,"KEMHRC, PUNE",Biology/Medicine,,Male,,Established (>10 years post-education),Other (please specify),MD,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,N/A,most research and publication here are self funded,Very Frequently,,Very Rarely,,Very Rarely,,Rarely,,Always,,Rarely,,Occasionally,,Very Rarely,,Rarely,,Rarely,,Always,,Very Frequently,,Always,,N/A,,Rarely,,Rarely,,Occasionally,,Occasionally,,Very Frequently,,Very Rarely,,Frequently,,Occasionally,,Very Frequently,,Always,,Always,,Always,,Always,,N/A,,Occasionally,,Always,,Never,,Very Rarely,,Very Frequently,,Very Frequently,,Occasionally,,Occasionally,,Always,,Always,,Rarely,,Sub-Saharan Africa,BABCOCK UNIVERSITY,Other (please specify),ENVIROMENTAL AND OCCUPATIONAL ,Male,,Mid-career (3-10 years post-education),PhD degree,,Research manager   (I manage one or more research projects),,Yes,
Researcher from the Global North,,Never,,N/A,,Very Rarely,,Never,,Never,,N/A,I have mainly been analyzing datasets that my colleagues collected or analyzing publicly-available existing datasets.,Very Rarely,,Never,,Always,For clinical trials that I was involved with. ,Very Rarely,,Never,,Very Frequently,,Occasionally,,Always,,Never,,Never,,Never,,Never,,Very Rarely,,Very Frequently,,Frequently,,Very Rarely,,Occasionally,,Frequently,,Frequently,,Occasionally,,Rarely,,Very Frequently,,Very Frequently,,Never,,N/A,,Never,,Frequently,,Very Rarely,,Very Rarely,,Never,,Never,,Very Frequently,,Frequently,,Very Rarely,,North America,,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),PhD degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global North,,Never,,Always,,Never,,Never,,Never,,N/A,I do not use research instruments (qualitative),Never,,Very Rarely,"Again, not entirely applicable to qualitative work as some conclusions are abductive",Always,,Occasionally,,Never,,Always,,Very Frequently,,Always,,Occasionally,,N/A,Qualitative data is usually not made accessible due to confidentiality,N/A,,Very Rarely,,Very Rarely,,Always,,Occasionally,,Frequently,who are end users of research?,N/A,I don't research abroad or outside my local community,Very Rarely,I usually conduct research alone (sole investigator as per anthropology convention),Very Frequently,,N/A,,N/A,,Always,,N/A,,N/A,,N/A,,Never,,Prefer not to respond,,Occasionally,,N/A,,N/A,,Occasionally,,Always,,Always,,N/A,,Europe and Central Asia,,Sociology/Anthropology,,Female,,Mid-career (3-10 years post-education),Postdoc or Assistant Professor,,Researcher,,No,
Researcher from the Global South,,Never,,Always,,Very Rarely,,Very Rarely,,Rarely,,Always,,Rarely,,Rarely,,Always,,Rarely,,Never,,Always,,Always,,Always,,Rarely,,Always,,Always,,Rarely,,Rarely,,Very Frequently,,Never,,Never,,Always,,Very Frequently,,Very Frequently,,Very Frequently,,Frequently,,Always,,Always,,Never,,Always,,Never,,Very Rarely,,Always,,Always,,Always,,Always,,Very Frequently,,Frequently,,Very Frequently,,South Asia,Institute of Public Health Bengaluru,Other (please specify),Health policy and systems research with social sciences bias but with epi work also,Male,,Established (>10 years post-education),PhD degree,,Researcher,,Yes,
Researcher from the Global North,,Never,,Occasionally,,Never,,Very Rarely,,Occasionally,Too high a workload to mentor to my satisfaction,Frequently,,Occasionally,,Very Rarely,,N/A,N/A for the type of qualitative research that I have done,Very Rarely,,Never,,Very Frequently,,Always,,Always,,N/A,Have not had this experience,Never,,Never,,Never,,Occasionally,,Frequently,,Never,,Occasionally,,Rarely,,Rarely,,Frequently,,Frequently,,Occasionally,,Always,,Very Frequently,,Always,"Host institutions provided access, but this was a PhD study involving a small number of qualitative interviews which I did myself.",N/A,No data collection staff involved,Never,,N/A,,Occasionally,,Rarely,,Always,,Always,,Always,,Very Frequently,,Very Frequently,,Sub-Saharan Africa,,Sociology/Anthropology,,Female,,Established (>10 years post-education),Bachelor or Master degree,,Research manager   (I manage one or more research projects),,No,
Researcher from the Global North,,Never,,Always,,Very Rarely,,Rarely,,Very Rarely,,Always,,Rarely,,Very Rarely,,Occasionally,,Never,,Never,,Always,,Very Frequently,,Always,,N/A,,Very Frequently,,Frequently,,Very Rarely,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Very Frequently,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Very Rarely,,Very Frequently,,Always,,Very Frequently,,Frequently,,Very Frequently,,Very Frequently,,Very Rarely,,Europe and Central Asia,Swiss TPH,Biostatistics/Epidemiology,,Female,,Established (>10 years post-education),Postdoc or Assistant Professor,,Research manager   (I manage one or more research projects),,No,
Researcher from the Global South,,Always,,Always,,Always,,Always,,Always,,Very Frequently,,Very Rarely,,Prefer not to respond,,Very Frequently,,Very Rarely,,Never,,Always,,Rarely,,Always,,Very Rarely,,Frequently,,Rarely,,Frequently,,Frequently,,Always,,Always,,Very Frequently,,Occasionally,,Frequently,,Always,,Very Frequently,,Always,,Always,,Always,,Very Rarely,,Very Frequently,,Never,,Rarely,,Occasionally,,Frequently,,Occasionally,,Occasionally,,Frequently,,Always,,Very Frequently,,South Asia,KEMHRC,Biology/Medicine,,Male,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,Never,,Never,,Never,,Never,,Very Rarely,,Always,,Never,,Never,,Frequently,,Never,,Never,,Always,,Frequently,,Always,,Never,,Frequently,,Rarely,,Never,,Never,,Always,,Never,,Occasionally,,Always,,Always,,Always,,Always,,Very Frequently,,Always,,Always,,Never,,Always,,Never,,Very Rarely,,Always,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Always,,Frequently,,East Asia and Pacific,universitas gadjah mada,Biostatistics/Epidemiology,,Female,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Research manager   (I manage one or more research projects),,No,
Researcher from the Global North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Never,,N/A,,Very Rarely,,Very Rarely,,Very Rarely,,N/A,,Rarely,,Rarely,,N/A,,Occasionally,,N/A,,Very Frequently,,Occasionally,,Very Frequently,,N/A,,N/A,,N/A,,Occasionally,,Occasionally,,Always,,Very Rarely,,Rarely,,Very Frequently,,Frequently,,Very Frequently,,Occasionally,,Frequently,,Very Frequently,,N/A,,Very Rarely,,Very Frequently,,Rarely,,Very Rarely,,N/A,,N/A,,N/A,,N/A,,Very Frequently,,Very Frequently,,N/A,,North America,BIDMC ,Biology/Medicine,,Female,,Early Career (< 3 years post-education),Bachelor or Master degree,,Other (please specify),clinician at academic institution ,No,
Researcher from the Global North,,Never,,Never,,Never,,Very Rarely,,Never,,N/A,not applicable,Never,,Never,,N/A,Don't understand the question-I have never heard of such a thing and seems like craziness,Very Rarely,,Never,,Frequently,,Frequently,,Always,,Frequently,Its impossible to publish these so the question is pretty stupid,Always,where possible,N/A,,Frequently,,Rarely,,Always,,Always,,Always,,Never,,Frequently,,Never,,Very Rarely,,N/A,usually few study partners,N/A,Not applicable,N/A,,Frequently,,Rarely,,N/A,,N/A,,Very Rarely,,Very Rarely,,N/A,,Never,,Always,,Always,,Rarely,,Europe and Central Asia,Cardiff University,Biology/Medicine,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Research manager   (I manage one or more research projects),,No,
Researcher from the Global North,,Never,,Always,,Very Rarely,,Very Rarely,,Frequently,,Very Frequently,,Very Rarely,,Rarely,,Very Frequently,,Always,,Very Rarely,,Very Frequently,,Frequently,,Very Frequently,,Never,,Frequently,,Occasionally,,Very Rarely,,Very Rarely,,Very Frequently,,Occasionally,,Occasionally,,Frequently,,Very Frequently,,Always,,Very Frequently,,Occasionally,,Always,,Always,,Frequently,,Always,,Never,,Very Rarely,,Frequently,,Occasionally,,Frequently,,Frequently,,Frequently,,Rarely,,Rarely,,North America,,Biology/Medicine,,Female,,Mid-career (3-10 years post-education),PhD degree,,Research manager   (I manage one or more research projects),,Yes,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,N/A,I have not been approached,Always,,Never,,Very Rarely,,Very Frequently,,Very Rarely,,Very Rarely,,Rarely,,Occasionally,,Very Rarely,,Always,,Always,,Always,,Frequently,,Always,,Occasionally,,Frequently,,Occasionally,,Always,,Frequently,,Frequently,,Frequently,,Frequently,,Frequently,,Frequently,,Frequently,,Frequently,,Occasionally,,Rarely,,Frequently,,Rarely,,Rarely,,Occasionally,,Occasionally,,Frequently,,Frequently,,Frequently,,Frequently,,Frequently,,Europe and Central Asia,,Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),Prefer not to disclose,,Researcher,,No,
Researcher from the Global North,,Never,,Rarely,,Very Rarely,,Very Rarely,,Occasionally,,Frequently,,Very Rarely,,Very Rarely,,Always,,Occasionally,,Never,,Always,,Always,,Always,,Never,,Always,required by my funder and institution,Frequently,,Rarely,,Very Rarely,,Always,,Frequently,,Frequently,,Always,,Always,,Always,,Always,,Very Frequently,,Always,,Always,,Never,,Always,,Never,,Occasionally,,Frequently,,Frequently,,Very Frequently,,Frequently,,Very Frequently,,Very Frequently,,Always,,Sub-Saharan Africa,,,,,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Prefer not to disclose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other (please specify),Research Development Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Always,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Very Frequently,,Very Frequently,,Always,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Always,,Very Frequently,,Always,,Very Frequently,,Very Rarely,,Very Frequently,,Very Frequently,,Occasionally,,Frequently,,Frequently,,Occasionally,,Frequently,,Always,,Always,,Always,,Sub-Saharan Africa,University of Ghana,Other (please specify),Foof and food safety,Male,,Early Career (< 3 years post-education),Bachelor or Master degree,,Research manager   (I manage one or more research projects),,Yes,
Prefer not to disclose,,Never,,N/A,never faced such issue ,Never,,Never,,Very Rarely,,Very Frequently,,Never,,Never,,Always,,Very Rarely,,Never,,Always,,Very Frequently,,Always,,Never,,Occasionally,,N/A,never used programming code ,Very Rarely,,Very Rarely,,Always,,Rarely,,Occasionally,,N/A,We work in our local populations ,Always,,Occasionally,,Always,,Frequently,,Always,,Always,,Never,,Always,,Never,,Very Rarely,,Occasionally,,Occasionally,,Very Frequently,,Frequently,,Very Frequently,,Very Frequently,,Frequently,,South Asia,KEM Hospital Research Centre,Biology/Medicine,,Female,,Mid-career (3-10 years post-education),PhD degree,,Researcher,,Yes,
Researcher from the Global South,,Never,,N/A,no reason to,Occasionally,,Rarely,,Occasionally,,Occasionally,,Rarely,,Rarely,,Frequently,,Occasionally,,Rarely,,N/A,student,Frequently,,Frequently,,Rarely,,Very Frequently,,Frequently,,Frequently,,Very Frequently,,Frequently,,Very Rarely,,Very Rarely,,Very Frequently,,Occasionally,,Frequently,,Frequently,,Occasionally,,Always,,N/A,not involved,Very Rarely,,Always,,Never,,Frequently,,Frequently,,Very Frequently,,Frequently,,Frequently,,Occasionally,,Occasionally,,Rarely,,East Asia and Pacific,Monash University Malaysia,Biology/Medicine,,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global South,,Never,,N/A,No corrections received so far.,Never,,Very Rarely,,Rarely,,Very Frequently,,Never,,Never,,Always,,Very Rarely,,Never,,Always,,Occasionally,,Always,,Never,,Very Frequently,,N/A,,Never,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Very Frequently,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Very Frequently,,East Asia and Pacific,UP Manila,Biology/Medicine,,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Researcher,,No,
Researcher from the Global North,,Never,,Occasionally,,Never,,Never,,Rarely,,Always,,Very Rarely,,Never,,Frequently,,Occasionally,,Never,,Always,,Always,,Always,,Never,,Frequently,,Rarely,,Rarely,,Rarely,,Always,,Occasionally,,Occasionally,,Always,,Always,,Very Frequently,,Frequently,,Frequently,,Always,,Always,,Never,,Always,,Never,,Never,,Very Frequently,,Very Frequently,,Frequently,,Frequently,,Always,,Always,,Rarely,,Sub-Saharan Africa,KEMRI-Wellcome Trust Research Programme,Biostatistics/Epidemiology,,Female,,Established (>10 years post-education),Bachelor or Master degree,,Researcher,,No,
Researcher from the Global South,,Never,,N/A,,Never,,Very Rarely,,Very Rarely,,Always,,Never,,Never,,Always,,Very Rarely,,Never,,Very Frequently,,Very Frequently,,Always,,Never,,Very Rarely,,Never,,Very Rarely,,Never,,Very Frequently,,Occasionally,,Very Rarely,,Always,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Always,,Never,,Very Frequently,,Never,,Very Rarely,,N/A,,Very Rarely,,Very Rarely,,Very Rarely,,Always,,Very Frequently,,Always,,Sub-Saharan Africa,Infectious Diseases Institute,Biology/Medicine,,Female,,Established (>10 years post-education),PhD degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
